pref_num,name,2015年,2020年,2025年,2030年,2035年,2040年,2045年,rate,rate2
1000,北海道,5381733,5216615,5016554,4791592,4546357,4280427,4004973,89.0,74.4
1100,札幌市,1952356,1974801,1976367,1959483,1924460,1870991,1805120,100.4,92.5
1101,中央区,237627,250176,259039,264549,266687,265576,261704,111.3,110.1
1102,北区,285321,289554,290737,289404,285680,279225,270974,101.4,95.0
1103,東区,261912,265450,266542,265394,261908,256072,248709,101.3,95.0
1104,白石区,209584,212980,214350,213756,211405,207066,201308,102.0,96.1
1105,豊平区,218652,223197,225491,225883,224265,220498,214933,103.3,98.3
1106,南区,141190,136143,130103,123342,115718,107107,98161,87.4,69.5
1107,西区,213578,215258,214889,212866,209203,203866,197708,99.7,92.6
1108,厚別区,127767,125949,122720,118177,112474,105693,98283,92.5,76.9
1109,手稲区,140999,141486,140345,137711,133690,128513,122601,97.7,87.0
1110,清田区,115726,114608,112151,108401,103430,97375,90739,93.7,78.4
1202,函館市,265979,249794,232653,215148,197467,179807,162712,80.9,61.2
1203,小樽市,121924,111129,100236,89561,79253,69422,60424,73.5,49.6
1204,旭川市,339605,329655,316837,301879,285138,266997,248360,88.9,73.1
1205,室蘭市,88564,81874,74810,67834,61227,55050,49377,76.6,55.8
1206,釧路市,174742,166270,156671,146422,135811,124945,114040,83.8,65.3
1207,帯広市,169327,169138,167296,164213,160263,155438,149749,97.0,88.4
1208,北見市,121226,116312,110446,104061,97226,89921,82362,85.8,67.9
1209,夕張市,8843,7185,5778,4603,3653,2882,2253,52.1,25.5
1210,岩見沢市,84499,78591,72377,66101,59865,53640,47586,78.2,56.3
1211,網走市,39077,37022,34829,32528,30246,27896,25496,83.2,65.2
1212,留萌市,22221,19968,17749,15593,13537,11627,9861,70.2,44.4
1213,苫小牧市,172737,170448,166550,161365,155212,148083,140442,93.4,81.3
1214,稚内市,36380,33212,29983,26795,23723,20803,18083,73.7,49.7
1215,美唄市,23035,20254,17618,15173,12947,10912,9092,65.9,39.5
1216,芦別市,14676,12761,10974,9328,7856,6559,5420,63.6,36.9
1217,江別市,120636,116429,111519,106082,99871,92706,85067,87.9,70.5
1218,赤平市,11105,9555,8114,6812,5685,4690,3819,61.3,34.4
1219,紋別市,23109,21249,19356,17447,15553,13743,12032,75.5,52.1
1220,士別市,19914,18121,16344,14614,12970,11392,9895,73.4,49.7
1221,名寄市,29048,27361,25552,23677,21789,19902,18044,81.5,62.1
1222,三笠市,9076,7743,6551,5502,4610,3851,3213,60.6,35.4
1223,根室市,26917,24461,22005,19610,17330,15190,13210,72.9,49.1
1224,千歳市,95648,96739,96786,95985,94506,92345,89658,100.4,93.7
1225,滝川市,41192,38922,36394,33703,30952,28131,25318,81.8,61.5
1226,砂川市,17694,16210,14687,13176,11720,10310,8978,74.5,50.7
1227,歌志内市,3585,2884,2298,1813,1410,1079,813,50.6,22.7
1228,深川市,21909,20156,18343,16540,14774,13097,11499,75.5,52.5
1229,富良野市,22936,21596,20161,18681,17169,15619,14082,81.4,61.4
1230,登別市,49625,47150,44290,41122,37845,34485,31170,82.9,62.8
1231,恵庭市,69702,69449,68548,67129,65292,63003,60339,96.3,86.6
1233,伊達市,34995,33520,31782,29882,27920,25879,23819,85.4,68.1
1234,北広島市,59064,57339,54990,52264,49371,46222,42907,88.5,72.6
1235,石狩市,57436,55066,52139,48785,45190,41384,37642,84.9,65.5
1236,北斗市,46390,43973,41272,38388,35437,32362,29253,82.8,63.1
1303,当別町,17278,15718,14194,12736,11346,10007,8675,73.7,50.2
1304,新篠津村,3329,3052,2798,2563,2320,2076,1843,77.0,55.4
1331,松前町,7337,6109,5038,4090,3263,2559,1993,55.7,27.2
1332,福島町,4422,3742,3131,2592,2104,1682,1324,58.6,29.9
1333,知内町,4653,4219,3787,3370,2965,2577,2213,72.4,47.6
1334,木古内町,4547,3856,3242,2691,2202,1776,1408,59.2,31.0
1337,七飯町,28120,27228,26055,24696,23155,21466,19691,87.8,70.0
1343,鹿部町,4226,3914,3609,3272,2939,2623,2336,77.4,55.3
1345,森町,15946,14138,12425,10839,9357,7970,6730,68.0,42.2
1346,八雲町,17252,15600,13995,12446,10960,9535,8199,72.1,47.5
1347,長万部町,5926,5182,4566,4033,3574,3139,2750,68.1,46.4
1361,江差町,8248,7392,6564,5785,5052,4360,3715,70.1,45.0
1362,上ノ国町,4876,4239,3628,3067,2547,2086,1686,62.9,34.6
1363,厚沢部町,4049,3618,3204,2822,2464,2128,1815,69.7,44.8
1364,乙部町,3906,3414,2944,2510,2109,1749,1445,64.3,37.0
1367,奥尻町,2690,2305,1974,1671,1400,1154,934,62.1,34.7
1370,今金町,5628,5082,4628,4208,3795,3385,2988,74.8,53.1
1371,せたな町,8473,7435,6461,5569,4745,4006,3327,65.7,39.3
1391,島牧村,1499,1309,1139,979,835,719,606,65.3,40.4
1392,寿都町,3137,2766,2442,2145,1887,1646,1431,68.4,45.6
1393,黒松内町,3082,2805,2563,2345,2141,1953,1763,76.1,57.2
1394,蘭越町,4843,4352,3896,3478,3065,2670,2301,71.8,47.5
1395,ニセコ町,4958,4948,4957,4910,4827,4723,4594,99.0,92.7
1396,真狩村,2103,1923,1763,1607,1459,1313,1170,76.4,55.6
1397,留寿都村,1907,1757,1619,1488,1367,1261,1134,78.0,59.5
1398,喜茂別町,2294,2053,1834,1635,1456,1288,1129,71.3,49.2
1399,京極町,3187,2857,2535,2246,1986,1744,1516,70.5,47.6
1400,倶知安町,15018,14277,13482,12663,11804,10966,10141,84.3,67.5
1401,共和町,6224,5736,5263,4801,4359,3950,3559,77.1,57.2
1402,岩内町,13042,11604,10249,8987,7827,6790,5834,68.9,44.7
1403,泊村,1771,1640,1519,1400,1296,1194,1097,79.1,61.9
1404,神恵内村,1004,877,758,650,559,474,391,64.7,38.9
1405,積丹町,2115,1785,1498,1241,1024,836,682,58.7,32.2
1406,古平町,3188,2755,2352,1992,1671,1398,1155,62.5,36.2
1407,仁木町,3498,3252,3016,2780,2560,2350,2149,79.5,61.4
1408,余市町,19607,17851,16108,14430,12838,11295,9847,73.6,50.2
1409,赤井川村,1121,1003,888,781,681,591,514,69.7,45.9
1423,南幌町,7927,7176,6489,5854,5214,4559,3893,73.8,49.1
1424,奈井江町,5674,5154,4654,4169,3703,3275,2862,73.5,50.4
1425,上砂川町,3479,2947,2469,2046,1683,1374,1116,58.8,32.1
1427,由仁町,5314,4767,4240,3748,3276,2843,2443,70.5,46.0
1428,長沼町,11076,10401,9687,8946,8192,7419,6639,80.8,59.9
1429,栗山町,12344,11424,10465,9506,8531,7587,6687,77.0,54.2
1430,月形町,4577,4290,3966,3632,3293,2958,2623,79.4,57.3
1431,浦臼町,1985,1786,1590,1414,1242,1097,951,71.2,47.9
1432,新十津川町,6831,6354,5842,5317,4815,4315,3822,77.8,56.0
1433,妹背牛町,3091,2708,2348,2003,1690,1393,1134,64.8,36.7
1434,秩父別町,2513,2227,1972,1732,1505,1299,1112,68.9,44.2
1436,雨竜町,2749,2439,2153,1899,1668,1441,1226,69.1,44.6
1437,北竜町,1981,1777,1579,1393,1220,1061,915,70.3,46.2
1438,沼田町,3181,2781,2409,2062,1754,1468,1211,64.8,38.1
1452,鷹栖町,7018,6758,6393,6018,5663,5288,4906,85.8,69.9
1453,東神楽町,10233,10390,10399,10307,10123,9804,9379,100.7,91.7
1454,当麻町,6689,6224,5730,5230,4742,4247,3774,78.2,56.4
1455,比布町,3777,3429,3078,2743,2418,2116,1835,72.6,48.6
1456,愛別町,2976,2631,2311,2008,1730,1477,1256,67.5,42.2
1457,上川町,4044,3521,3008,2537,2140,1787,1485,62.7,36.7
