pref,2015,2020,2025,2030,2035,2040,2045
北海道,5382,5217,5017,4792,4546,4280,4005
青森県,1308,1236,1157,1076,994,909,824
岩手県,1280,1224,1162,1096,1029,958,885
宮城県,2334,2296,2227,2144,2046,1933,1809
秋田県,1023,956,885,814,744,673,602
山形県,1124,1072,1016,957,897,834,768
福島県,1914,1828,1733,1635,1534,1426,1315
茨城県,2917,2845,2750,2638,2512,2376,2236
栃木県,1974,1930,1873,1806,1730,1647,1561
群馬県,1973,1926,1866,1796,1720,1638,1553
埼玉県,7267,7273,7203,7076,6909,6721,6525
千葉県,6223,6205,6118,5986,5823,5646,5463
東京都,13515,13733,13846,13883,13852,13759,13607
神奈川県,9126,9141,9070,8933,8751,8541,8313
新潟県,2304,2224,2131,2031,1926,1815,1699
富山県,1066,1035,996,955,910,863,817
石川県,1154,1133,1104,1071,1033,990,948
福井県,787,764,738,710,680,647,614
山梨県,835,801,763,724,684,642,599
長野県,2099,2033,1958,1878,1793,1705,1615
岐阜県,2032,1973,1901,1821,1735,1646,1557
静岡県,3700,3616,3506,3380,3242,3094,2943
愛知県,7483,7505,7456,7359,7228,7071,6899
三重県,1816,1768,1710,1645,1576,1504,1431
滋賀県,1413,1409,1395,1372,1341,1304,1263
京都府,2610,2574,2510,2431,2339,2238,2137
大阪府,8839,8732,8526,8262,7963,7649,7335
兵庫県,5535,5443,5306,5139,4949,4743,4532
奈良県,1364,1320,1265,1202,1136,1066,998
和歌山県,964,921,876,829,782,734,688
鳥取県,573,556,537,516,495,472,449
島根県,694,670,643,615,588,558,529
岡山県,1922,1890,1846,1797,1742,1681,1620
広島県,2844,2814,2758,2689,2609,2521,2429
山口県,1405,1352,1293,1230,1166,1100,1036
徳島県,756,723,688,651,614,574,535
香川県,976,951,921,889,853,815,776
愛媛県,1385,1333,1274,1212,1148,1081,1013
高知県,728,691,653,614,576,536,498
福岡県,5102,5098,5043,4955,4842,4705,4554
佐賀県,833,810,785,757,728,697,664
長崎県,1377,1321,1258,1192,1124,1054,982
熊本県,1786,1742,1691,1636,1577,1512,1442
大分県,1166,1131,1089,1044,997,947,897
宮崎県,1104,1067,1023,977,928,877,825
鹿児島県,1648,1583,1511,1437,1362,1284,1204
沖縄県,1434,1460,1468,1470,1466,1452,1428
